Brand,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Car_Age,Km_Per_Year,Model,Price_Lakhs
Maruti Suzuki,Mumbai,2010,72000,CNG,Manual,First,26.6,998.0,58.16,5.0,16,4500.0,Wagon R LXI CNG,1.75
Hyundai,Pune,2015,41000,Diesel,Manual,First,19.67,1582.0,126.2,5.0,11,3727.3,Creta 1.6 CRDi SX Option,12.5
Honda,Chennai,2011,46000,Petrol,Manual,First,18.2,1199.0,88.7,5.0,15,3066.7,Jazz V,4.5
Maruti Suzuki,Chennai,2012,87000,Diesel,Manual,First,20.77,1248.0,88.76,7.0,14,6214.3,Ertiga VDI,6.0
Audi,Coimbatore,2013,40670,Diesel,Automatic,Second,15.2,1968.0,140.8,5.0,13,3128.5,A4 New 2.0 TDI Multitronic,17.74
Hyundai,Hyderabad,2012,75000,LPG,Manual,First,21.1,814.0,55.2,5.0,14,5357.1,EON LPG Era Plus Option,2.35
Nissan,Jaipur,2013,86999,Diesel,Manual,First,23.08,1461.0,63.1,5.0,13,6692.2,Micra Diesel XV,3.5
Toyota,Mumbai,2016,36000,Diesel,Automatic,First,11.36,2755.0,171.5,8.0,10,3600.0,Innova Crysta 2.8 GX AT 8S,17.5
Volkswagen,Pune,2013,64430,Diesel,Manual,First,20.54,1598.0,103.6,5.0,13,4956.2,Vento Diesel Comfortline,5.2
Tata,Chennai,2012,65932,Diesel,Manual,Second,22.3,1248.0,74.0,5.0,14,4709.4,Indica Vista Quadrajet LS,1.95
Maruti Suzuki,Kochi,2018,25692,Petrol,Manual,First,21.56,1462.0,103.25,5.0,8,3211.5,Ciaz Zeta,9.95
Honda,Kolkata,2012,60000,Petrol,Automatic,First,16.8,1497.0,116.3,5.0,14,4285.7,City 1.5 V AT Sunroof,4.49
Maruti Suzuki,Jaipur,2015,64424,Diesel,Manual,First,25.2,1248.0,74.0,5.0,11,5856.7,Swift VDI BSIV,5.6
Land Rover,Delhi,2014,72000,Diesel,Automatic,First,12.7,2179.0,187.7,5.0,12,6000.0,Range Rover 2.2L Pure,27.0
